prompt,model_of_original_prompt,order,iteration,prompt_length,step1_story_prompt_with_prefix,full_prompt_length
A person discovers a hidden journal that belonged to a famous author.,Llama,43,20,69,Please write me a story in exactly 5 sentences: A person discovers a hidden journal that belonged to a famous author.,117
You are tasked with solving a mystery that takes place in a world where the laws of physics do not apply.,Llama,39,12,105,Please write me a story in exactly 5 sentences: You are tasked with solving a mystery that takes place in a world where the laws of physics do not apply.,153
A young boy discovers that he has the ability to communicate with the dead.,Llama,20,11,75,Please write me a story in exactly 5 sentences: A young boy discovers that he has the ability to communicate with the dead.,123
"A group of people are trapped in a world where time is currency, and the rich live forever.",Llama,34,18,91,"Please write me a story in exactly 5 sentences: A group of people are trapped in a world where time is currency, and the rich live forever.",139
A man discovers a portal in his backyard that leads to a world where the Roman Empire never fell.,Llama,19,8,97,Please write me a story in exactly 5 sentences: A man discovers a portal in his backyard that leads to a world where the Roman Empire never fell.,145
"A woman discovers a hidden world of magic that exists alongside our own, and must learn to navigate its rules and consequences.",Llama,38,15,127,"Please write me a story in exactly 5 sentences: A woman discovers a hidden world of magic that exists alongside our own, and must learn to navigate its rules and consequences.",175
A young boy is sent to a mysterious boarding school where the students are trained to develop their unique abilities.,Llama,27,15,117,Please write me a story in exactly 5 sentences: A young boy is sent to a mysterious boarding school where the students are trained to develop their unique abilities.,165
"A man discovers a way to manipulate reality itself, but at a great cost to his own sanity.",Llama,42,15,90,"Please write me a story in exactly 5 sentences: A man discovers a way to manipulate reality itself, but at a great cost to his own sanity.",138
"A group of strangers are brought together by a mysterious figure who claims to have the ability to grant wishes, but at a steep price.",Llama,21,12,134,"Please write me a story in exactly 5 sentences: A group of strangers are brought together by a mysterious figure who claims to have the ability to grant wishes, but at a steep price.",182
You are the captain of a spaceship that has been stranded on a deserted! planet.,Llama,16,6,80,Please write me a story in exactly 5 sentences: You are the captain of a spaceship that has been stranded on a deserted! planet.,128
"A person wakes up to find that they have been transported to a world that is identical to their own, but with one key difference: everything is opposite.",Llama,33,19,153,"Please write me a story in exactly 5 sentences: A person wakes up to find that they have been transported to a world that is identical to their own, but with one key difference: everything is opposite.",201
"You are given the ability to shape-shift into any animal, but with the caveat that you will lose your human memories and identity forever.",Llama,15,12,138,"Please write me a story in exactly 5 sentences: You are given the ability to shape-shift into any animal, but with the caveat that you will lose your human memories and identity forever.",186
